"database","term","clean","short"
"Hallmark","HALLMARK_ADIPOGENESIS","Adipogenesis","Adipogenesis"
"Hallmark","HALLMARK_ALLOGRAFT_REJECTION","Allograft Rejection","Allograft Rejection"
"Hallmark","HALLMARK_ANDROGEN_RESPONSE","Androgen Response","Androgen Response"
"Hallmark","HALLMARK_ANGIOGENESIS","Angiogenesis","Angiogenesis"
"Hallmark","HALLMARK_APICAL_JUNCTION","Apical Junction","Apical Junction"
"Hallmark","HALLMARK_APICAL_SURFACE","Apical Surface","Apical Surface"
"Hallmark","HALLMARK_APOPTOSIS","Apoptosis","Apoptosis"
"Hallmark","HALLMARK_BILE_ACID_METABOLISM","Bile Acid Metabolism","Bile Acid Metabolism"
"Hallmark","HALLMARK_CHOLESTEROL_HOMEOSTASIS","Cholesterol Homeostasis","Cholesterol Homeostasis"
"Hallmark","HALLMARK_COAGULATION","Coagulation","Coagulation"
"Hallmark","HALLMARK_COMPLEMENT","Complement","Complement"
"Hallmark","HALLMARK_DNA_REPAIR","DNA Repair","DNA Repair"
"Hallmark","HALLMARK_E2F_TARGETS","E2F Targets","E2F Targets"
"Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Epithelial-Mesenchymal Transition","EMT"
"Hallmark","HALLMARK_ESTROGEN_RESPONSE_EARLY","Estrogen Response Early","Estrogen Response Early"
"Hallmark","HALLMARK_ESTROGEN_RESPONSE_LATE","Estrogen Response Late","Estrogen Response Late"
"Hallmark","HALLMARK_FATTY_ACID_METABOLISM","Fatty Acid Metabolism","Fatty Acid Metabolism"
"Hallmark","HALLMARK_G2M_CHECKPOINT","G2/M Checkpoint","G2/M Checkpoint"
"Hallmark","HALLMARK_GLYCOLYSIS","Glycolysis","Glycolysis"
"Hallmark","HALLMARK_HEDGEHOG_SIGNALING","Hedgehog Signaling","Hedgehog Signaling"
"Hallmark","HALLMARK_HEME_METABOLISM","Heme Metabolism","Heme Metabolism"
"Hallmark","HALLMARK_HYPOXIA","Hypoxia","Hypoxia"
"Hallmark","HALLMARK_IL2_STAT5_SIGNALING","IL-2/STAT5 Signaling","IL-2/STAT5 Signaling"
"Hallmark","HALLMARK_IL6_JAK_STAT3_SIGNALING","IL-6/JAK/STAT3 Signaling","IL-6/JAK/STAT3 Signaling"
"Hallmark","HALLMARK_INFLAMMATORY_RESPONSE","Inflammatory Response","Inflammatory Response"
"Hallmark","HALLMARK_INTERFERON_ALPHA_RESPONSE","Interferon-alpha Response","IFN-alpha Response"
"Hallmark","HALLMARK_INTERFERON_GAMMA_RESPONSE","Interferon-gamma Response","IFN-gamma Response"
"Hallmark","HALLMARK_KRAS_SIGNALING_DN","KRAS Signaling Down","KRAS Signaling Down"
"Hallmark","HALLMARK_KRAS_SIGNALING_UP","KRAS Signaling Up","KRAS Signaling Up"
"Hallmark","HALLMARK_MITOTIC_SPINDLE","Mitotic Spindle","Mitotic Spindle"
"Hallmark","HALLMARK_MTORC1_SIGNALING","mTORC1 Signaling","mTORC1 Signaling"
"Hallmark","HALLMARK_MYC_TARGETS_V1","MYC Targets V1","MYC Targets V1"
"Hallmark","HALLMARK_MYC_TARGETS_V2","MYC Targets V2","MYC Targets V2"
"Hallmark","HALLMARK_MYOGENESIS","Myogenesis","Myogenesis"
"Hallmark","HALLMARK_NOTCH_SIGNALING","Notch Signaling","Notch Signaling"
"Hallmark","HALLMARK_OXIDATIVE_PHOSPHORYLATION","Oxidative Phosphorylation","OXPHOS"
"Hallmark","HALLMARK_P53_PATHWAY","p53 Pathway","p53 Pathway"
"Hallmark","HALLMARK_PANCREAS_BETA_CELLS","Pancreas Beta Cells","Pancreas Beta Cells"
"Hallmark","HALLMARK_PEROXISOME","Peroxisome","Peroxisome"
"Hallmark","HALLMARK_PI3K_AKT_MTOR_SIGNALING","PI3K/AKT/mTOR Signaling","PI3K/AKT/mTOR Signaling"
"Hallmark","HALLMARK_PROTEIN_SECRETION","Protein Secretion","Protein Secretion"
"Hallmark","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Reactive Oxygen Species Pathway","ROS Pathway"
"Hallmark","HALLMARK_SPERMATOGENESIS","Spermatogenesis","Spermatogenesis"
"Hallmark","HALLMARK_TGF_BETA_SIGNALING","TGF-beta Signaling","TGF-beta Signaling"
"Hallmark","HALLMARK_TNFA_SIGNALING_VIA_NFKB","TNF-alpha Signaling via NF-kB","TNF-alpha via NF-kB"
"Hallmark","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Unfolded Protein Response","UPR"
"Hallmark","HALLMARK_UV_RESPONSE_DN","UV Response Down","UV Response Down"
"Hallmark","HALLMARK_UV_RESPONSE_UP","UV Response Up","UV Response Up"
"Hallmark","HALLMARK_WNT_BETA_CATENIN_SIGNALING","WNT/beta-Catenin Signaling","WNT/beta-Catenin Signaling"
"Hallmark","HALLMARK_XENOBIOTIC_METABOLISM","Xenobiotic Metabolism","Xenobiotic Metabolism"
"GO Slim","GOSLIM_MITOTIC_CELL_CYCLE","Mitotic Cell Cycle","Mitotic Cell Cycle"
"GO Slim","GOSLIM_CYTOKINESIS","Cytokinesis","Cytokinesis"
"GO Slim","GOSLIM_CYTOPLASMIC_TRANSLATION","Cytoplasmic Translation","Cytoplasmic Translation"
"GO Slim","GOSLIM_IMMUNE_SYSTEM_PROCESS","Immune System Process","Immune System Process"
"GO Slim","GOSLIM_MUSCLE_SYSTEM_PROCESS","Muscle System Process","Muscle System Process"
"GO Slim","GOSLIM_CIRCULATORY_SYSTEM_PROCESS","Circulatory System Process","Circulatory System Process"
"GO Slim","GOSLIM_RENAL_SYSTEM_PROCESS","Renal System Process","Renal System Process"
"GO Slim","GOSLIM_RESPIRATORY_SYSTEM_PROCESS","Respiratory System Process","Respiratory System Process"
"GO Slim","GOSLIM_CARBOHYDRATE_METABOLIC_PROCESS","Carbohydrate Metabolic Process","Carbohydrate Metabolism"
"GO Slim","GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY","Generation of Precursor Metabolites and Energy","Precursor Metabolites\n& Energy"
"GO Slim","GOSLIM_DNA_REPLICATION","DNA Replication","DNA Replication"
"GO Slim","GOSLIM_DNA_REPAIR","DNA Repair","DNA Repair"
"GO Slim","GOSLIM_DNA_RECOMBINATION","DNA Recombination","DNA Recombination"
"GO Slim","GOSLIM_CHROMATIN_ORGANIZATION","Chromatin Organization","Chromatin Organization"
"GO Slim","GOSLIM_DNA_TEMPLATED_TRANSCRIPTION","DNA-Templated Transcription","DNA-Templated Transcription"
"GO Slim","GOSLIM_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION","Regulation of DNA-Templated Transcription","Transcription Regulation"
"GO Slim","GOSLIM_TRNA_METABOLIC_PROCESS","tRNA Metabolic Process","tRNA Metabolism"
"GO Slim","GOSLIM_PROTEIN_FOLDING","Protein Folding","Protein Folding"
"GO Slim","GOSLIM_AMINO_ACID_METABOLIC_PROCESS","Amino Acid Metabolic Process","Amino Acid Metabolism"
"GO Slim","GOSLIM_MODIFIED_AMINO_ACID_METABOLIC_PROCESS","Modified Amino Acid Metabolic Process","Modified Amino Acid Metabolism"
"GO Slim","GOSLIM_LIPID_METABOLIC_PROCESS","Lipid Metabolic Process","Lipid Metabolism"
"GO Slim","GOSLIM_VITAMIN_METABOLIC_PROCESS","Vitamin Metabolic Process","Vitamin Metabolism"
"GO Slim","GOSLIM_SULFUR_COMPOUND_METABOLIC_PROCESS","Sulfur Compound Metabolic Process","Sulfur Compound Metabolism"
"GO Slim","GOSLIM_INTRACELLULAR_PROTEIN_TRANSPORT","Intracellular Protein Transport","Intracellular\nProtein Transport"
